"codice";"descrizione";"prezzo";"punti"
"3045140105502";CIOCC.LATTE Gr100MILKA      .;1.59;0.07950000000000000000
"3045140280803";CIOCC.R.CRISPY Gr100MILKA   .;1.59;0.07950000000000000000
"3045206158138";SUPER IRIDE COLOR.NERO GR.350;4.29;0.21450000000000000000
"3046920010047";CIOCC.EXCELLENCE78% Gr100LIN;2.89;0.14450000000000000000
"3046920010856";CIOCC.EXCELL.LIM/ZENZ.Gr100LI;2.49;0.12450000000000000000
"3046920016377";CIOCC.EXCELL.100% GR.50LINDT;2.99;0.14950000000000000000
"3046920020862";CIOCC.EXCELL.MIELE/MAND.100g L;2.49;0.12450000000000000000
"3046920028004";CIOCC.EXCELL.70% Gr100LINDT.;2.59;0.12950000000000000000
"3046920028363";CIOCC.EXCELL.85% Gr100LINDT .;2.79;0.13950000000000000000
"3046920028370";CIOCC.EXCELL.ORANGE100g LINDT;2.49;0.12450000000000000000
"3046920028721";CIOCC.EXCELLENCE99% Gr50LIND;2.99;0.14950000000000000000
"3046920028752";CIOCC.EXCELL.MINT100g LINDT;2.39;0.11950000000000000000
"3046920029759";CIOCC.EXCELLENCE90% Gr100LIN;2.99;0.14950000000000000000
"3046920070034";SCAT.CIOC.PIACEVOL.INS.Gr316L;11.39;0.56950000000000000000
"3046920090018";CIOCC.EXC.MAND.NOCC.CRAN.100g;2.49;0.12450000000000000000
"3049610004104";CHAMPAGNE VEUVE CLICQUOT cl75;44.99;2.2495000000000000
"3049614003417";CHAMP.VEUVE CLICQUOT ROSE cl75;56.90;2.8450000000000000
"3059943009042";DEOD.AIR W.FRESHMATIC RIC.F/G;3.69;0.18450000000000000000
"3059946083124";DEODO.AIR W.RIC.GROTTA AZZURRA;4.29;0.21450000000000000000
"3059946156330";FINISH CURALAVASTO.ml250LIMON;4.29;0.21450000000000000000
"3065890000131";PEDIGREE MANZO Gr400LATTINA#;1.59;0.07950000000000000000
"3065890004603";KITEKAT MANZ/VIT/CAR.GR.100#;0.59;0.02950000000000000000
"3065890004641";KITEKAT SALM/TRO/CAR.GR.100#;0.65;0.03250000000000000000
"3065890114067";CESAR C.VERDURA/MANZO Gr150V#;1.49;0.07450000000000000000
"3065890114081";CESAR TACCHI/VERDU.Gr150#;1.39;0.06950000000000000000
"3065890114128";CESAR C.VERDURA/POLLO Gr150V#;1.49;0.07450000000000000000
"3065890122093";SHEBA CREAZ.SPEC.SALSA TACCH.#;0.95;0.04750000000000000000
"3065894520000";PEDIGREE POLLO/TACC.Gr300#;2.10;0.10500000000000000000
"3065895970002";PEDIGREE AGNE/POLLO Gr300#  .;2.19;0.10950000000000000000
"3072763003656";BESCIAMELLA Ml500;1.49;0.07450000000000000000
"3072763017103";DETERG.PAVIM.ALCOOL+LIM.L.1,25;1.25;0.06250000000000000000
"3073780968508";MINI BABYBEL x5Gr100BEL ITA.;2.49;0.12450000000000000000
"3073780979542";LEERDAMMER FETTE LIGH.Gr100BE;2.39;0.11950000000000000000
"3073781011432";LEERDAMMER FETTE NAT.Gr160BEL;3.49;0.17450000000000000000
"3073781056358";KIRI DIPPI GR.35x3BEL ITALIA;2.89;0.14450000000000000000
"3073781122121";LEERD.FETTE NAT.XSOTT.Gr80BEL;1.89;0.09450000000000000000
"3074676070060";VINO R.N.D'AVOLA Cl75FUNARO;7.79;0.38950000000000000000
"3076070038028";CAFFE'LAVAZZA C/G G/C Gr250x2#;6.19;0.30950000000000000000
"3083680014168";COCCOLE BROCC/CAROTE GR.300BO;3.39;0.16950000000000000000
"3083680019750";GERMOGLI/SOIA Gr200x3BONDUEL.;3.09;0.15450000000000000000
"3083680020732";CAROTINE PRIMIZIA Gr200x3BOND;2.49;0.12450000000000000000
"3083680025881";MAIS Gr300BONDUELLE         .;1.75;0.08750000000000000000
